import time: self [us] | cumulative | imported package
import time:      3985 |       3985 |                         jinja2._identifier
import time:     12128 |      16113 |                       jinja2.lexer
import time:      1541 |       1541 |                       jinja2.parser
import time:      5013 |      60086 |                     jinja2.environment
import time:      1302 |       1302 |                     jinja2.loaders
import time:       655 |      62696 |                   jinja2
import time:       547 |      63243 |                 dask.widgets.widgets
import time:      1267 |      64510 |               dask.widgets
import time:       643 |     252250 |             dask.highlevelgraph
import time:      4741 |     257309 |           dask.delayed
import time:       744 |     559589 |         dask
import time:      2201 |       2201 |                   _ssl
import time:      5255 |       7455 |                 ssl
import time:       905 |        905 |                 asyncio.constants
import time:       472 |        472 |                 asyncio.coroutines
import time:       449 |        449 |                   asyncio.format_helpers
import time:       579 |        579 |                     asyncio.base_futures
import time:       497 |        497 |                     asyncio.exceptions
import time:       524 |        524 |                     asyncio.base_tasks
import time:      1282 |       2881 |                   _asyncio
import time:      1012 |       4341 |                 asyncio.events
import time:       572 |        572 |                 asyncio.futures
import time:       448 |        448 |                 asyncio.protocols
import time:       581 |        581 |                   asyncio.transports
import time:       426 |        426 |                   asyncio.log
import time:      1128 |       2133 |                 asyncio.sslproto
import time:       354 |        354 |                     asyncio.mixins
import time:       892 |       1246 |                   asyncio.locks
import time:       964 |        964 |                     asyncio.timeouts
import time:       871 |       1835 |                   asyncio.tasks
import time:       577 |       3656 |                 asyncio.staggered
import time:       454 |        454 |                 asyncio.trsock
import time:      1688 |      22121 |               asyncio.base_events
import time:       724 |        724 |               asyncio.runners
import time:       559 |        559 |               asyncio.queues
import time:       661 |        661 |               asyncio.streams
import time:       563 |        563 |               asyncio.subprocess
import time:       468 |        468 |               asyncio.taskgroups
import time:       349 |        349 |               asyncio.threads
import time:       675 |        675 |                 asyncio.base_subprocess
import time:       866 |        866 |                 asyncio.selector_events
import time:      1805 |       3345 |               asyncio.unix_events
import time:       642 |      29429 |             asyncio
import time:       995 |        995 |               logging.handlers
import time:      1118 |       1118 |               socketserver
import time:      5063 |       7175 |             logging.config
import time:     98632 |     135235 |           distributed.config
import time:       563 |        563 |           distributed.widgets
import time:       459 |        459 |           distributed._version
import time:       500 |        500 |               tornado
import time:      1184 |       1184 |                       tornado.speedups
import time:      1420 |       2604 |                     tornado.util
import time:      4750 |       7354 |                   tornado.escape
import time:       228 |        228 |                   colorama
import time:      1501 |       1501 |                     _curses
import time:       555 |       2056 |                   curses
import time:       564 |      10199 |                 tornado.log
import time:       827 |      11026 |               tornado.concurrent
import time:      1508 |      13033 |             tornado.ioloop
import time:       780 |        780 |                 pkgutil
import time:       571 |        571 |                     xml
import time:       525 |       1096 |                   xml.etree
import time:      3107 |       3107 |                   xml.etree.ElementPath
import time:      1165 |       1165 |                     pyexpat
import time:      1192 |       2356 |                   _elementtree
import time:      1518 |       8075 |                 xml.etree.ElementTree
import time:       459 |        459 |                 distributed.compatibility
import time:      1259 |       1259 |                 resource
import time:      1464 |       1464 |                 distributed.metrics
import time:       469 |        469 |                   multiprocessing.popen_fork
import time:       119 |        119 |                     runpy
import time:       623 |        741 |                   multiprocessing.spawn
import time:       587 |       1796 |                 multiprocessing.popen_spawn_posix
import time:      2615 |      16445 |               distributed.utils
import time:       665 |        665 |                   msgpack.exceptions
import time:       565 |        565 |                   msgpack.ext
import time:      1934 |       1934 |                   msgpack._cmsgpack
import time:       680 |       3842 |                 msgpack
import time:       669 |        669 |                 distributed._stories
import time:       675 |       5186 |               distributed.cluster_dump
import time:       842 |        842 |                 filecmp
import time:       678 |        678 |                   distributed.profile
import time:       246 |        246 |                             snappy
import time:       364 |        364 |                               lz4.version
import time:      1328 |       1328 |                               lz4._version
import time:       477 |       2169 |                             lz4
import time:      1444 |       1444 |                               lz4.block._block
import time:       317 |       1761 |                             lz4.block
import time:      1875 |       1875 |                               zstandard.backend_c
import time:       573 |       2447 |                             zstandard
import time:       794 |       7415 |                           distributed.protocol.compression
import time:      1774 |       1774 |                               _ctypes
import time:       480 |        480 |                               ctypes._endian
import time:      1576 |       3829 |                             ctypes
import time:       399 |        399 |                               numpy.version
import time:       314 |        314 |                               numpy._expired_attrs_2_0
import time:       512 |        512 |                                   numpy._utils._convertions
import time:       623 |       1134 |                                 numpy._utils
import time:       486 |       1620 |                               numpy._globals
import time:       280 |        280 |                                 numpy._distributor_init_local
import time:       277 |        557 |                               numpy._distributor_init
import time:       437 |        437 |                                         numpy.exceptions
import time:       513 |        513 |                                         numpy._core._exceptions
import time:       300 |        300 |                                         numpy._core.printoptions
import time:       295 |        295 |                                         numpy.dtypes
import time:      4562 |       6105 |                                       numpy._core._multiarray_umath
import time:       324 |        324 |                                         numpy._utils._inspect
import time:       462 |        786 |                                       numpy._core.overrides
import time:      1149 |       8038 |                                     numpy._core.multiarray
import time:       370 |        370 |                                     numpy._core.umath
import time:       349 |        349 |                                       numpy._core._dtype
import time:       247 |        247 |                                       numpy._core._string_helpers
import time:       543 |        543 |                                       numpy._core._type_aliases
import time:       696 |       1834 |                                     numpy._core.numerictypes
import time:       356 |        356 |                                       numpy._core._ufunc_config
import time:       494 |        494 |                                         numpy._core._methods
import time:      2369 |       2862 |                                       numpy._core.fromnumeric
import time:       381 |       3598 |                                     numpy._core._machar
import time:      1053 |       1053 |                                         numpy._core.shape_base
import time:       222 |        222 |                                         numpy._core._asarray
import time:       899 |        899 |                                         numpy._core.arrayprint
import time:      1663 |       3836 |                                       numpy._core.numeric
import time:       497 |       4332 |                                     numpy._core.einsumfunc
import time:       516 |        516 |                                     numpy._core.function_base
import time:       603 |        603 |                                     numpy._core.getlimits
import time:       395 |        395 |                                     numpy._core.memmap
